timestamp,datetime,joint_1_rad,joint_1_deg,joint_2_rad,joint_2_deg,joint_3_rad,joint_3_deg,joint_4_rad,joint_4_deg,joint_5_rad,joint_5_deg,joint_6_rad,joint_6_deg,joint_7_rad,joint_7_deg,joint_8_rad,joint_8_deg,joint_9_rad,joint_9_deg,joint_10_rad,joint_10_deg,joint_11_rad,joint_11_deg,joint_12_rad,joint_12_deg,joint_13_rad,joint_13_deg,joint_14_rad,joint_14_deg,formatted
1756860855.2712615,2025-09-03 09:54:15.271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"  +0.0°,   +0.0°,   +0.0°,   +0.0°,   +0.0°,   +0.0°,   +0.0°,   +0.0° ... (+6개)"
1756860855.3605862,2025-09-03 09:54:15.360,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"  +0.0°,   +0.0°,   +0.0°,   +0.0°,   +0.0°,   +0.0°,   +0.0°,   +0.0° ... (+6개)"
1756860855.4638464,2025-09-03 09:54:15.463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"  +0.0°,   +0.0°,   +0.0°,   +0.0°,   +0.0°,   +0.0°,   +0.0°,   +0.0° ... (+6개)"
1756860855.553665,2025-09-03 09:54:15.553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"  +0.0°,   +0.0°,   +0.0°,   +0.0°,   +0.0°,   +0.0°,   +0.0°,   +0.0° ... (+6개)"
1756860855.6715417,2025-09-03 09:54:15.671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"  +0.0°,   +0.0°,   +0.0°,   +0.0°,   +0.0°,   +0.0°,   +0.0°,   +0.0° ... (+6개)"
1756860855.7555299,2025-09-03 09:54:15.755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"  +0.0°,   +0.0°,   +0.0°,   +0.0°,   +0.0°,   +0.0°,   +0.0°,   +0.0° ... (+6개)"
1756860855.8558562,2025-09-03 09:54:15.855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"  +0.0°,   +0.0°,   +0.0°,   +0.0°,   +0.0°,   +0.0°,   +0.0°,   +0.0° ... (+6개)"
1756860855.9688148,2025-09-03 09:54:15.968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"  +0.0°,   +0.0°,   +0.0°,   +0.0°,   +0.0°,   +0.0°,   +0.0°,   +0.0° ... (+6개)"
1756860856.0533798,2025-09-03 09:54:16.053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"  +0.0°,   +0.0°,   +0.0°,   +0.0°,   +0.0°,   +0.0°,   +0.0°,   +0.0° ... (+6개)"
1756860856.1630154,2025-09-03 09:54:16.163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"  +0.0°,   +0.0°,   +0.0°,   +0.0°,   +0.0°,   +0.0°,   +0.0°,   +0.0° ... (+6개)"
